Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,Estimated_Energy_Wh
0,lane_detection,10:19:09.399919,10:19:09.491018,0.091099,274.43,2847.75,27.88,0.210000,0.040000,0.00006556
0,car_overlay_reconstruction,10:19:09.491523,10:19:09.502928,0.011405,789.14,2848.00,0.25,0.090000,0.000000,0.00001864
0,object_detection_yolo,10:19:09.503339,10:19:09.606158,0.102819,807.25,2849.50,1.50,0.770000,0.060000,0.00017140
0,vehicle_analysis_postprocessing,10:19:09.613153,10:19:09.613382,0.000229,4364.52,2849.50,0.00,0.010000,0.000000,0.00000183
0,mqtt_communication,10:19:09.613723,10:19:09.617376,0.003653,547.49,2849.50,0.00,0.020000,0.000000,0.00000440
1,lane_detection,10:19:09.708223,10:19:09.791941,0.083718,238.90,2888.93,14.12,0.180000,0.020000,0.00005524
1,car_overlay_reconstruction,10:19:09.792336,10:19:09.794652,0.002316,863.47,2888.93,0.00,0.020000,0.000000,0.00000410
1,object_detection_yolo,10:19:09.794924,10:19:09.832404,0.037480,800.42,2888.93,0.00,0.290000,0.010000,0.00006215
1,vehicle_analysis_postprocessing,10:19:09.832898,10:19:09.833078,0.000180,0.00,2888.93,0.00,0.000000,0.000000,0.00000004
1,mqtt_communication,10:19:09.833392,10:19:09.833807,0.000416,0.00,2888.93,0.00,0.000000,0.000000,0.00000010
2,lane_detection,10:19:09.866511,10:19:09.941164,0.074653,803.72,2902.43,0.62,0.570000,0.030000,0.00012430
2,car_overlay_reconstruction,10:19:09.941663,10:19:09.944535,0.002871,696.55,2902.43,0.00,0.020000,0.000000,0.00000423
2,object_detection_yolo,10:19:09.944888,10:19:09.983143,0.038255,836.50,2902.43,0.00,0.290000,0.030000,0.00006592
2,vehicle_analysis_postprocessing,10:19:09.983646,10:19:09.983817,0.000171,0.00,2902.43,0.00,0.000000,0.000000,0.00000004
2,mqtt_communication,10:19:09.984141,10:19:09.984569,0.000428,2337.96,2902.43,0.00,0.010000,0.000000,0.00000188
3,lane_detection,10:19:10.021672,10:19:10.086109,0.064437,806.98,2909.05,0.50,0.500000,0.020000,0.00010770
3,car_overlay_reconstruction,10:19:10.086512,10:19:10.089131,0.002618,763.85,2909.05,0.00,0.020000,0.000000,0.00000418
3,object_detection_yolo,10:19:10.089425,10:19:10.126856,0.037431,801.46,2909.05,0.00,0.280000,0.020000,0.00006219
3,vehicle_analysis_postprocessing,10:19:10.127248,10:19:10.127400,0.000153,0.00,2909.05,0.00,0.000000,0.000000,0.00000004
3,mqtt_communication,10:19:10.127652,10:19:10.127969,0.000317,0.00,2909.05,0.00,0.000000,0.000000,0.00000008
4,lane_detection,10:19:10.156751,10:19:10.220525,0.063773,799.71,2912.55,0.00,0.480000,0.030000,0.00010578
4,car_overlay_reconstruction,10:19:10.221090,10:19:10.224300,0.003210,623.09,2912.55,0.00,0.020000,0.000000,0.00000432
4,object_detection_yolo,10:19:10.224683,10:19:10.263209,0.038526,804.66,2912.55,0.00,0.290000,0.020000,0.00006424
4,vehicle_analysis_postprocessing,10:19:10.263573,10:19:10.263694,0.000120,0.00,2912.55,0.00,0.000000,0.000000,0.00000003
4,mqtt_communication,10:19:10.263896,10:19:10.264179,0.000283,0.00,2912.55,0.00,0.000000,0.000000,0.00000007
5,lane_detection,10:19:10.293339,10:19:10.367911,0.074571,804.60,2914.80,0.00,0.570000,0.030000,0.00012436
5,car_overlay_reconstruction,10:19:10.368367,10:19:10.371004,0.002637,758.53,2914.80,0.00,0.020000,0.000000,0.00000418
5,object_detection_yolo,10:19:10.371331,10:19:10.408906,0.037575,798.40,2914.80,0.00,0.270000,0.030000,0.00006225
5,vehicle_analysis_postprocessing,10:19:10.409357,10:19:10.409539,0.000182,0.00,2914.80,0.00,0.000000,0.000000,0.00000004
5,mqtt_communication,10:19:10.409811,10:19:10.410176,0.000365,0.00,2914.80,0.00,0.000000,0.000000,0.00000009
6,lane_detection,10:19:10.450271,10:19:10.543703,0.093432,813.42,2918.30,0.00,0.710000,0.050000,0.00015730
6,car_overlay_reconstruction,10:19:10.544267,10:19:10.547542,0.003274,610.79,2918.30,0.00,0.020000,0.000000,0.00000433
6,object_detection_yolo,10:19:10.547927,10:19:10.586577,0.038650,776.19,2918.30,0.00,0.280000,0.020000,0.00006251
6,vehicle_analysis_postprocessing,10:19:10.586956,10:19:10.587097,0.000142,0.00,2918.30,0.00,0.000000,0.000000,0.00000003
6,mqtt_communication,10:19:10.587320,10:19:10.587608,0.000288,0.00,2918.30,0.00,0.000000,0.000000,0.00000007
7,lane_detection,10:19:10.622672,10:19:10.684657,0.061985,806.64,2921.68,0.00,0.460000,0.040000,0.00010363
7,car_overlay_reconstruction,10:19:10.685055,10:19:10.687404,0.002349,851.29,2921.68,0.00,0.020000,0.000000,0.00000411
7,object_detection_yolo,10:19:10.687671,10:19:10.724589,0.036918,812.61,2921.68,0.00,0.280000,0.020000,0.00006211
7,vehicle_analysis_postprocessing,10:19:10.724981,10:19:10.725156,0.000175,0.00,2921.68,0.00,0.000000,0.000000,0.00000004
7,mqtt_communication,10:19:10.725395,10:19:10.725731,0.000336,0.00,2921.68,0.00,0.000000,0.000000,0.00000008
8,lane_detection,10:19:10.753818,10:19:10.825505,0.071687,809.07,2925.18,0.00,0.550000,0.030000,0.00012018
8,car_overlay_reconstruction,10:19:10.825974,10:19:10.828918,0.002944,1019.02,2925.18,0.00,0.030000,0.000000,0.00000603
8,object_detection_yolo,10:19:10.829273,10:19:10.867536,0.038264,810.17,2925.18,0.00,0.290000,0.020000,0.00006422
8,vehicle_analysis_postprocessing,10:19:10.868031,10:19:10.868210,0.000178,0.00,2925.18,0.00,0.000000,0.000000,0.00000004
8,mqtt_communication,10:19:10.868448,10:19:10.868774,0.000327,3061.54,2925.18,0.00,0.010000,0.000000,0.00000186
9,lane_detection,10:19:10.899072,10:19:10.977408,0.078336,804.23,2928.55,0.00,0.590000,0.040000,0.00013067
9,car_overlay_reconstruction,10:19:10.977814,10:19:10.980341,0.002527,791.38,2928.55,0.00,0.020000,0.000000,0.00000416
9,object_detection_yolo,10:19:10.980628,10:19:11.017824,0.037197,806.52,2928.55,0.00,0.290000,0.010000,0.00006220
9,vehicle_analysis_postprocessing,10:19:11.018208,10:19:11.018326,0.000118,0.00,2928.55,0.00,0.000000,0.000000,0.00000003
9,mqtt_communication,10:19:11.018532,10:19:11.018803,0.000272,0.00,2928.55,0.00,0.000000,0.000000,0.00000006
10,lane_detection,10:19:11.049684,10:19:11.138161,0.088477,802.47,2932.05,0.00,0.680000,0.030000,0.00014733
10,car_overlay_reconstruction,10:19:11.138632,10:19:11.141462,0.002830,1060.15,2932.05,0.00,0.030000,0.000000,0.00000601
10,object_detection_yolo,10:19:11.141786,10:19:11.179833,0.038048,814.77,2932.05,0.00,0.290000,0.020000,0.00006419
10,vehicle_analysis_postprocessing,10:19:11.180343,10:19:11.180499,0.000157,0.00,2932.05,0.00,0.000000,0.000000,0.00000004
10,mqtt_communication,10:19:11.180774,10:19:11.181199,0.000425,2352.39,2932.05,0.00,0.010000,0.000000,0.00000188
11,lane_detection,10:19:11.205728,10:19:11.274611,0.068883,798.46,2938.55,3.00,0.510000,0.040000,0.00011425
11,car_overlay_reconstruction,10:19:11.274985,10:19:11.277197,0.002212,452.07,2938.55,0.00,0.010000,0.000000,0.00000231
11,object_detection_yolo,10:19:11.277451,10:19:11.314317,0.036865,813.77,2938.55,0.00,0.290000,0.010000,0.00006215
11,vehicle_analysis_postprocessing,10:19:11.314702,10:19:11.314867,0.000165,0.00,2938.55,0.00,0.000000,0.000000,0.00000004
11,mqtt_communication,10:19:11.315124,10:19:11.315468,0.000344,2908.67,2938.55,0.00,0.010000,0.000000,0.00000186
12,lane_detection,10:19:11.344599,10:19:11.429575,0.084976,811.99,2942.05,0.00,0.650000,0.040000,0.00014301
12,car_overlay_reconstruction,10:19:11.429935,10:19:11.432107,0.002172,920.61,2942.05,0.00,0.020000,0.000000,0.00000408
12,object_detection_yolo,10:19:11.432349,10:19:11.469270,0.036920,785.48,2942.05,0.00,0.270000,0.020000,0.00006040
12,vehicle_analysis_postprocessing,10:19:11.469655,10:19:11.469771,0.000116,0.00,2942.05,0.00,0.000000,0.000000,0.00000003
12,mqtt_communication,10:19:11.469969,10:19:11.470250,0.000281,3557.51,2942.05,0.00,0.010000,0.000000,0.00000185
13,lane_detection,10:19:11.493393,10:19:11.573092,0.079699,803.03,2946.05,0.50,0.600000,0.040000,0.00013289
13,car_overlay_reconstruction,10:19:11.573479,10:19:11.575835,0.002356,424.52,2946.05,0.00,0.010000,0.000000,0.00000234
13,object_detection_yolo,10:19:11.576103,10:19:11.613202,0.037099,781.69,2946.05,0.00,0.280000,0.010000,0.00006045
13,vehicle_analysis_postprocessing,10:19:11.613561,10:19:11.613678,0.000117,0.00,2946.05,0.00,0.000000,0.000000,0.00000003
13,mqtt_communication,10:19:11.613875,10:19:11.614151,0.000276,3625.15,2946.05,0.00,0.010000,0.000000,0.00000184
14,lane_detection,10:19:11.642421,10:19:11.725115,0.082693,810.22,2949.55,0.00,0.630000,0.040000,0.00013896
14,car_overlay_reconstruction,10:19:11.725606,10:19:11.728426,0.002820,709.28,2949.55,0.00,0.020000,0.000000,0.00000423
14,object_detection_yolo,10:19:11.728770,10:19:11.766783,0.038013,815.51,2949.55,0.00,0.290000,0.020000,0.00006424
14,vehicle_analysis_postprocessing,10:19:11.767273,10:19:11.767432,0.000159,0.00,2949.55,0.00,0.000000,0.000000,0.00000004
14,mqtt_communication,10:19:11.767705,10:19:11.768113,0.000408,0.00,2949.55,0.00,0.000000,0.000000,0.00000010
15,lane_detection,10:19:11.796218,10:19:11.874171,0.077953,808.18,2952.93,0.00,0.590000,0.040000,0.00013073
15,car_overlay_reconstruction,10:19:11.874600,10:19:11.877198,0.002598,769.74,2952.93,0.00,0.020000,0.000000,0.00000418
15,object_detection_yolo,10:19:11.877498,10:19:11.914930,0.037432,801.45,2952.93,0.00,0.280000,0.020000,0.00006233
15,vehicle_analysis_postprocessing,10:19:11.915325,10:19:11.915490,0.000165,0.00,2952.93,0.00,0.000000,0.000000,0.00000004
15,mqtt_communication,10:19:11.915725,10:19:11.916099,0.000374,2673.23,2952.93,0.00,0.010000,0.000000,0.00000187
16,lane_detection,10:19:11.940229,10:19:12.030968,0.090739,804.51,2956.30,0.00,0.700000,0.030000,0.00015161
16,car_overlay_reconstruction,10:19:12.031456,10:19:12.034301,0.002845,702.92,2956.30,0.00,0.020000,0.000000,0.00000424
16,object_detection_yolo,10:19:12.034611,10:19:12.072789,0.038177,785.81,2956.30,0.00,0.280000,0.020000,0.00006252
16,vehicle_analysis_postprocessing,10:19:12.073256,10:19:12.073428,0.000173,0.00,2956.30,0.00,0.000000,0.000000,0.00000004
16,mqtt_communication,10:19:12.073702,10:19:12.074115,0.000413,0.00,2956.30,0.00,0.000000,0.000000,0.00000010
17,lane_detection,10:19:12.106754,10:19:12.197307,0.090554,795.11,2959.30,0.00,0.690000,0.030000,0.00014981
17,car_overlay_reconstruction,10:19:12.197761,10:19:12.200564,0.002803,713.50,2959.30,0.00,0.020000,0.000000,0.00000423
17,object_detection_yolo,10:19:12.200886,10:19:12.239120,0.038234,810.79,2959.30,0.00,0.290000,0.020000,0.00006432
17,vehicle_analysis_postprocessing,10:19:12.239595,10:19:12.239750,0.000156,0.00,2959.30,0.00,0.000000,0.000000,0.00000004
17,mqtt_communication,10:19:12.240024,10:19:12.240386,0.000362,2764.87,2959.30,0.00,0.010000,0.000000,0.00000186
18,lane_detection,10:19:12.269558,10:19:12.351096,0.081539,821.70,2962.30,0.00,0.630000,0.040000,0.00013877
18,car_overlay_reconstruction,10:19:12.351559,10:19:12.354453,0.002895,690.93,2962.30,0.00,0.020000,0.000000,0.00000425
18,object_detection_yolo,10:19:12.354777,10:19:12.393018,0.038240,784.51,2962.30,0.00,0.280000,0.020000,0.00006255
18,vehicle_analysis_postprocessing,10:19:12.393543,10:19:12.393700,0.000157,0.00,2962.30,0.00,0.000000,0.000000,0.00000004
18,mqtt_communication,10:19:12.393973,10:19:12.394323,0.000350,0.00,2962.30,0.00,0.000000,0.000000,0.00000008
19,lane_detection,10:19:12.423783,10:19:12.515528,0.091745,795.68,2965.30,0.00,0.680000,0.050000,0.00015192
19,car_overlay_reconstruction,10:19:12.515983,10:19:12.518960,0.002977,671.89,2965.30,0.00,0.020000,0.000000,0.00000427
19,object_detection_yolo,10:19:12.519297,10:19:12.557495,0.038197,811.58,2965.30,0.00,0.290000,0.020000,0.00006433
19,vehicle_analysis_postprocessing,10:19:12.557971,10:19:12.558136,0.000166,0.00,2965.30,0.00,0.000000,0.000000,0.00000004
19,mqtt_communication,10:19:12.558414,10:19:12.558760,0.000346,2886.65,2965.30,0.00,0.010000,0.000000,0.00000186
20,lane_detection,10:19:12.588190,10:19:12.670517,0.082328,813.82,2968.30,0.00,0.650000,0.020000,0.00013900
20,car_overlay_reconstruction,10:19:12.671002,10:19:12.674072,0.003070,651.44,2968.30,0.00,0.020000,0.000000,0.00000430
