Frame,Module,Start_Time,End_Time,Duration_s,Energy_kWh,Emissions_kg,CPU_Usage,Memory_Usage
11,car_overlay_reconstruction,16:32:56.145915,16:32:56.148671,0.0028,0.000000,0.000000,0,0
11,object_detection_yolo,16:32:56.154692,16:32:56.191695,0.0370,0.000000,0.000000,0,0
11,vehicle_analysis_postprocessing,16:32:56.196231,16:32:56.196314,0.0001,0.000000,0.000000,0,0
11,mqtt_communication,16:32:56.199930,16:32:56.200176,0.0002,0.000000,0.000000,0,0
12,lane_detection,16:32:56.231874,16:32:56.310536,0.0787,0.000000,0.000000,0,0
12,car_overlay_reconstruction,16:32:56.315476,16:32:56.318157,0.0027,0.000000,0.000000,0,0
12,object_detection_yolo,16:32:56.322510,16:32:56.358712,0.0362,0.000000,0.000000,0,0
12,vehicle_analysis_postprocessing,16:32:56.363086,16:32:56.363208,0.0001,0.000000,0.000000,0,0
12,mqtt_communication,16:32:56.366914,16:32:56.367217,0.0003,0.000000,0.000000,0,0
13,lane_detection,16:32:56.402718,16:32:56.492844,0.0901,0.000000,0.000000,0,0
13,car_overlay_reconstruction,16:32:56.499453,16:32:56.501569,0.0021,0.000000,0.000000,0,0
13,object_detection_yolo,16:32:56.505555,16:32:56.541503,0.0359,0.000000,0.000000,0,0
13,vehicle_analysis_postprocessing,16:32:56.546144,16:32:56.546257,0.0001,0.000000,0.000000,0,0
13,mqtt_communication,16:32:56.550029,16:32:56.550342,0.0003,0.000000,0.000000,0,0
14,lane_detection,16:32:56.583586,16:32:56.662000,0.0784,0.000000,0.000000,0,0
14,car_overlay_reconstruction,16:32:56.665961,16:32:56.668350,0.0024,0.000000,0.000000,0,0
14,object_detection_yolo,16:32:56.672243,16:32:56.708401,0.0362,0.000000,0.000000,0,0
14,vehicle_analysis_postprocessing,16:32:56.712691,16:32:56.712774,0.0001,0.000000,0.000000,0,0
14,mqtt_communication,16:32:56.716479,16:32:56.716715,0.0002,0.000000,0.000000,0,0
15,lane_detection,16:32:56.752699,16:32:56.840615,0.0879,0.000000,0.000000,0,0
15,car_overlay_reconstruction,16:32:56.844783,16:32:56.847462,0.0027,0.000000,0.000000,0,0
15,object_detection_yolo,16:32:56.851380,16:32:56.887229,0.0358,0.000000,0.000000,0,0
15,vehicle_analysis_postprocessing,16:32:56.891244,16:32:56.891319,0.0001,0.000000,0.000000,0,0
15,mqtt_communication,16:32:56.896050,16:32:56.896277,0.0002,0.000000,0.000000,0,0
16,lane_detection,16:32:56.930071,16:32:57.009455,0.0794,0.000000,0.000000,0,0
16,car_overlay_reconstruction,16:32:57.013549,16:32:57.015959,0.0024,0.000000,0.000000,0,0
16,object_detection_yolo,16:32:57.019416,16:32:57.055296,0.0359,0.000000,0.000000,0,0
16,vehicle_analysis_postprocessing,16:32:57.059905,16:32:57.060006,0.0001,0.000000,0.000000,0,0
16,mqtt_communication,16:32:57.063742,16:32:57.063964,0.0002,0.000000,0.000000,0,0
17,lane_detection,16:32:57.097665,16:32:57.176460,0.0788,0.000000,0.000000,0,0
17,car_overlay_reconstruction,16:32:57.181139,16:32:57.183696,0.0026,0.000000,0.000000,0,0
17,object_detection_yolo,16:32:57.187850,16:32:57.224560,0.0367,0.000000,0.000000,0,0
17,vehicle_analysis_postprocessing,16:32:57.229424,16:32:57.229542,0.0001,0.000000,0.000000,0,0
17,mqtt_communication,16:32:57.233307,16:32:57.233589,0.0003,0.000000,0.000000,0,0
18,lane_detection,16:32:57.262330,16:32:57.349527,0.0872,0.000000,0.000000,0,0
18,car_overlay_reconstruction,16:32:57.356368,16:32:57.359564,0.0032,0.000000,0.000000,0,0
18,object_detection_yolo,16:32:57.365648,16:32:57.403139,0.0375,0.000000,0.000000,0,0
18,vehicle_analysis_postprocessing,16:32:57.407022,16:32:57.407116,0.0001,0.000000,0.000000,0,0
18,mqtt_communication,16:32:57.410877,16:32:57.411083,0.0002,0.000000,0.000000,0,0
19,lane_detection,16:32:57.442945,16:32:57.524190,0.0812,0.000000,0.000000,0,0
19,car_overlay_reconstruction,16:32:57.529016,16:32:57.531796,0.0028,0.000000,0.000000,0,0
19,object_detection_yolo,16:32:57.536073,16:32:57.572436,0.0364,0.000000,0.000000,0,0
19,vehicle_analysis_postprocessing,16:32:57.576396,16:32:57.576472,0.0001,0.000000,0.000000,0,0
19,mqtt_communication,16:32:57.580379,16:32:57.580626,0.0002,0.000000,0.000000,0,0
