Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,GPU_0_Utilization_%,GPU_0_Memory_MB,GPU_0_Memory_Delta_MB,GPU_0_Power_W,GPU_0_Power_Delta_W,GPU_1_Utilization_%,GPU_1_Memory_MB,GPU_1_Memory_Delta_MB,GPU_1_Power_W,GPU_1_Power_Delta_W,Total_GPU_Energy_Wh,Estimated_Total_Energy_Wh
0,lane_detection,13:45:01.578688,13:45:01.880296,0.301608,523.86,2892.26,73.00,1.420000,0.160000,0.50,1098.00,20.00,27.07,0.77,19.50,4400.88,4.19,13.37,1.55,0.00338756,0.00373944
0,car_overlay_reconstruction,13:45:01.885324,13:45:01.895670,0.010346,96.65,2892.64,0.38,0.010000,0.000000,1.00,1098.00,0.00,27.16,-0.58,38.00,4400.50,0.00,13.80,-0.68,0.00011774,0.00012196
0,object_detection_yolo,13:45:01.900468,13:45:01.964098,0.063630,110.01,2893.51,0.88,0.070000,0.000000,3.00,1102.00,4.00,34.92,16.08,55.00,4400.50,0.00,22.55,18.18,0.00101577,0.00104319
0,vehicle_analysis_postprocessing,13:45:01.968373,13:45:01.973179,0.004806,208.07,2893.51,0.00,0.000000,0.010000,5.00,1102.00,0.00,42.96,0.00,72.00,4400.50,0.00,31.25,0.00,0.00009907,0.00010198
0,mqtt_communication,13:45:01.974379,13:45:01.979210,0.004831,0.00,2893.51,0.00,0.000000,0.000000,5.00,1102.00,0.00,32.85,0.00,72.00,4400.50,0.00,31.25,0.00,0.00008602,0.00008716
1,lane_detection,13:45:02.109014,13:45:02.146683,0.037669,584.03,2927.48,7.75,0.200000,0.020000,20.00,1118.00,16.00,29.67,5.98,10.00,4414.50,4.00,32.03,-1.16,0.00064559,0.00069368
1,car_overlay_reconstruction,13:45:02.153790,13:45:02.161722,0.007933,756.37,2927.48,0.00,0.050000,0.010000,20.00,1118.00,0.00,29.38,0.00,10.00,4414.50,0.00,31.45,0.00,0.00013405,0.00014660
1,object_detection_yolo,13:45:02.163199,13:45:02.200480,0.037281,804.70,2927.48,0.00,0.290000,0.010000,20.00,1118.00,0.00,42.39,26.01,10.00,4414.50,0.00,31.92,0.95,0.00076954,0.00083176
1,vehicle_analysis_postprocessing,13:45:02.204930,13:45:02.205936,0.001006,993.68,2927.48,0.00,0.010000,0.000000,20.00,1118.00,0.00,55.39,0.00,10.00,4414.50,0.00,32.40,0.00,0.00002454,0.00002656
1,mqtt_communication,13:45:02.207122,13:45:02.208280,0.001158,863.91,2927.48,0.00,0.010000,0.000000,20.00,1118.00,0.00,55.39,0.00,10.00,4414.50,0.00,32.55,0.30,0.00002827,0.00003033
2,lane_detection,13:45:02.259273,13:45:02.296505,0.037233,778.89,2943.35,2.75,0.270000,0.020000,25.00,1118.00,0.00,29.91,5.88,12.00,4414.50,0.00,33.34,-3.20,0.00065408,0.00071456
