Frame,Module,Start_Time,End_Time,Duration_s,CPU_Usage_%,Memory_Usage_MB,Memory_Delta_MB,CPU_Time_User_s,CPU_Time_System_s,GPU_0_Utilization_%,GPU_0_Memory_MB,GPU_0_Memory_Delta_MB,GPU_0_Power_W,GPU_0_Power_Delta_W,GPU_1_Utilization_%,GPU_1_Memory_MB,GPU_1_Memory_Delta_MB,GPU_1_Power_W,GPU_1_Power_Delta_W,Total_GPU_Energy_Wh,Estimated_Total_Energy_Wh
0,lane_detection,10:29:31.798860,10:29:31.895250,0.096390,290.49,2847.63,27.38,0.240000,0.040000,0.00,1078.00,0.00,30.60,0.10,7.50,3094.44,-40.69,9.30,0.19,0.00106820,0.00114032
0,car_overlay_reconstruction,10:29:31.900244,10:29:31.924109,0.023866,796.11,2847.63,0.00,0.170000,0.020000,0.00,1078.00,0.00,30.65,0.00,9.00,3094.44,0.00,12.93,1.45,0.00028891,0.00032822
0,object_detection_yolo,10:29:31.929570,10:29:32.044529,0.114960,800.28,2849.51,1.88,0.870000,0.050000,5.50,1094.00,16.00,34.17,7.04,34.00,3131.31,36.88,22.74,18.16,0.00181726,0.00200747
0,vehicle_analysis_postprocessing,10:29:32.049131,10:29:32.050260,0.001130,885.25,2849.51,0.00,0.010000,0.000000,11.00,1094.00,0.00,37.69,0.00,59.00,3131.31,0.00,31.82,0.00,0.00002181,0.00002385
0,mqtt_communication,10:29:32.051691,10:29:32.053183,0.001491,670.55,2849.51,0.00,0.010000,0.000000,11.00,1094.00,0.00,37.69,0.00,59.00,3131.31,0.00,31.82,0.00,0.00002879,0.00003092
1,lane_detection,10:29:32.128316,10:29:32.214934,0.086617,265.54,2889.34,14.38,0.200000,0.030000,9.00,1094.00,0.00,30.64,0.00,36.00,3146.06,13.62,32.11,0.19,0.00150986,0.00157112
1,car_overlay_reconstruction,10:29:32.219486,10:29:32.228483,0.008996,778.08,2889.34,0.00,0.060000,0.010000,7.00,1094.00,0.00,30.65,0.00,13.00,3146.06,0.00,31.64,0.00,0.00015566,0.00017022
1,object_detection_yolo,10:29:32.229964,10:29:32.264920,0.034956,801.00,2889.34,0.00,0.260000,0.020000,7.00,1094.00,0.00,47.73,34.16,13.00,3146.06,0.00,32.79,2.29,0.00078183,0.00083982
1,vehicle_analysis_postprocessing,10:29:32.269438,10:29:32.270558,0.001120,0.00,2889.34,0.00,0.000000,0.000000,7.00,1094.00,0.00,64.81,0.00,13.00,3146.06,0.00,33.94,0.00,0.00003072,0.00003099
1,mqtt_communication,10:29:32.271898,10:29:32.273252,0.001354,738.69,2889.34,0.00,0.010000,0.000000,7.00,1094.00,0.00,64.81,0.00,13.00,3146.06,0.00,33.94,0.00,0.00003713,0.00003923
2,lane_detection,10:29:32.319170,10:29:32.403697,0.084527,768.98,2903.21,0.75,0.610000,0.040000,12.50,1094.00,0.00,30.84,-0.39,12.00,3146.06,0.00,31.40,-0.87,0.00146132,0.00159685
2,car_overlay_reconstruction,10:29:32.407956,10:29:32.410957,0.003001,666.34,2903.21,0.00,0.020000,0.000000,18.00,1094.00,0.00,30.64,0.00,12.00,3146.06,0.00,30.97,0.00,0.00005136,0.00005563
2,object_detection_yolo,10:29:32.412096,10:29:32.446052,0.033956,824.60,2903.21,0.00,0.260000,0.020000,18.00,1094.00,0.00,48.25,35.23,12.00,3146.06,0.00,31.53,1.13,0.00075256,0.00081036
2,vehicle_analysis_postprocessing,10:29:32.450378,10:29:32.451388,0.001010,990.39,2903.21,0.00,0.010000,0.000000,18.00,1094.00,0.00,65.87,0.00,12.00,3146.06,0.00,32.10,0.00,0.00002748,0.00002949
2,mqtt_communication,10:29:32.452524,10:29:32.453691,0.001167,857.03,2903.21,0.00,0.010000,0.000000,18.00,1094.00,0.00,65.87,0.00,12.00,3146.06,0.00,32.10,0.00,0.00003175,0.00003381
3,lane_detection,10:29:32.477945,10:29:32.573886,0.095941,792.15,2909.21,0.00,0.720000,0.040000,18.00,1094.00,0.00,32.05,-2.80,3.00,3146.06,0.00,31.64,-1.15,0.00169718,0.00185501
3,car_overlay_reconstruction,10:29:32.578446,10:29:32.582187,0.003742,801.77,2909.21,0.00,0.030000,0.000000,18.00,1094.00,0.00,30.65,0.00,3.00,3146.06,0.00,31.01,-0.10,0.00006409,0.00007031
3,object_detection_yolo,10:29:32.586498,10:29:32.621587,0.035089,797.97,2909.21,0.00,0.270000,0.010000,18.00,1094.00,0.00,46.24,31.19,3.00,3146.06,0.00,32.02,2.11,0.00076282,0.00082091
3,vehicle_analysis_postprocessing,10:29:32.629483,10:29:32.630474,0.000991,0.00,2909.21,0.00,0.000000,0.000000,18.00,1094.00,0.00,61.84,0.00,3.00,3146.06,0.00,33.07,0.00,0.00002613,0.00002636
3,mqtt_communication,10:29:32.631573,10:29:32.632672,0.001099,910.22,2909.21,0.00,0.010000,0.000000,18.00,1094.00,0.00,61.84,0.00,3.00,3146.06,0.00,33.07,0.00,0.00002896,0.00003100
4,lane_detection,10:29:32.662513,10:29:32.746765,0.084252,795.23,2912.59,0.00,0.630000,0.040000,18.00,1094.00,0.00,31.22,-1.16,6.00,3146.06,0.00,31.88,-1.63,0.00147671,0.00161579
4,car_overlay_reconstruction,10:29:32.751157,10:29:32.754539,0.003381,1182.91,2912.59,0.00,0.030000,0.010000,18.00,1094.00,0.00,30.64,0.00,6.00,3146.06,0.00,31.06,0.00,0.00005796,0.00006587
4,object_detection_yolo,10:29:32.755903,10:29:32.790927,0.035024,828.00,2912.59,0.00,0.270000,0.020000,18.00,1094.00,0.00,48.40,35.52,6.00,3146.06,0.00,31.77,1.42,0.00077999,0.00083985
4,vehicle_analysis_postprocessing,10:29:32.795183,10:29:32.796130,0.000947,1055.97,2912.59,0.00,0.010000,0.000000,18.00,1094.00,0.00,66.16,0.00,6.00,3146.06,0.00,32.49,0.00,0.00002595,0.00002795
