Module,Total_Emissions_kg,Avg_Emissions_per_frame_kg,Max_Emissions_kg,Min_Emissions_kg,Frames_Processed
lane_detection,0.0016963130520232937,1.346280200018487e-06,1.8086006448980408e-06,9.881224772243695e-07,1260
object_detection,0.0011655938200961847,9.250744603937974e-07,1.7263878447951501e-06,6.807126576773559e-07,1260
overlay_reconstruction,0.00017099819589316053,1.3571285388346073e-07,2.444828426642238e-07,1.1022655822363495e-09,1260
mqtt_transmission,6.836846505577019e-05,5.426068655219856e-08,1.8475297407870016e-07,3.277321628115032e-08,1260
frame_processing_total,0.2656096236017771,0.00021080128857283895,0.0002694493980035254,0.0002046254661759112,1260
