frame,emissions_kg,timestamp
0,1.7263878447951501e-06,1756735276.3058076
1,9.625768820724146e-07,1756735299.1282837
2,9.531175011387035e-07,1756735321.8672938
3,1.191093684466767e-06,1756735344.6302414
4,9.516685125565671e-07,1756735367.4162796
5,9.866884727057914e-07,1756735390.179464
6,9.176909709557905e-07,1756735412.89724
7,1.1655723066978825e-06,1756735435.6942399
8,9.62245232078949e-07,1756735458.5331979
9,1.1016322526903753e-06,1756735481.30277
10,8.217575532623532e-07,1756735504.106549
11,9.703744102617937e-07,1756735526.8968952
12,1.035313421972984e-06,1756735549.7136197
13,9.581565780136093e-07,1756735572.4057124
14,9.687948171764716e-07,1756735595.1824932
15,9.040089753897151e-07,1756735617.956195
16,1.1013327380127609e-06,1756735640.7942657
17,9.979099003970015e-07,1756735663.6387782
18,1.0738156673265456e-06,1756735686.385826
19,9.282676878512395e-07,1756735709.1661463
20,9.926990441754514e-07,1756735732.0628376
21,9.801302893279057e-07,1756735754.8844037
22,1.0521754199779115e-06,1756735777.7203608
23,8.965877432081613e-07,1756735800.6055706
24,8.994675285141418e-07,1756735823.4340625
25,9.623174785887258e-07,1756735846.2105298
26,9.133766663069895e-07,1756735869.1492589
27,9.386843378079518e-07,1756735891.981473
28,1.1743983981846717e-06,1756735914.8328502
29,1.0413621897840798e-06,1756735937.5861952
30,9.575086125024937e-07,1756735960.3398378
31,9.834926731760094e-07,1756735983.1894398
32,9.440676037429536e-07,1756736006.0055258
33,1.0965473777084762e-06,1756736028.7705872
34,1.127383474984218e-06,1756736051.5642648
35,1.0796434148519207e-06,1756736074.4927619
36,9.86744296309322e-07,1756736097.2387605
37,9.053492724660146e-07,1756736119.998034
38,9.609505166459277e-07,1756736142.8502846
39,1.124848001639186e-06,1756736165.6850681
40,1.060472086782868e-06,1756736188.5802443
41,9.591425449639083e-07,1756736211.4033873
42,1.0248311580075332e-06,1756736234.1927214
43,1.0901336196806617e-06,1756736257.0834956
44,9.94080263085077e-07,1756736280.279514
45,9.174388115490102e-07,1756736303.1171727
46,9.54151635787435e-07,1756736325.955967
47,1.139948938007344e-06,1756736348.707785
48,1.1150632748647513e-06,1756736371.535566
49,1.0954307063304402e-06,1756736394.3343196
50,9.135758472995728e-07,1756736417.2165005
51,1.29055714028734e-06,1756736440.164243
52,1.0054485020783056e-06,1756736462.9997444
53,7.784370794619942e-07,1756736485.6532018
54,1.064910301940966e-06,1756736508.5559826
55,9.319309122245705e-07,1756736531.3664718
56,1.0230319846557085e-06,1756736554.1913822
57,9.57179836814375e-07,1756736577.0435185
58,9.72972385056015e-07,1756736599.8782713
59,9.730375102358713e-07,1756736622.7525043
60,1.1154051029879039e-06,1756736645.5172887
61,9.622786982983526e-07,1756736668.340019
62,1.0447238709992817e-06,1756736691.0972898
63,1.037545961589319e-06,1756736713.847496
64,1.0889920892179309e-06,1756736736.5904758
65,1.0763090760705458e-06,1756736759.4419556
66,7.427696308345784e-07,1756736782.1765497
67,8.17785572136944e-07,1756736804.9393327
68,9.99253061958004e-07,1756736827.7493029
69,9.429803654293569e-07,1756736850.5432308
70,8.654926884515981e-07,1756736873.2902665
71,9.28205786693665e-07,1756736896.1089458
72,1.1010095806633822e-06,1756736918.8793957
73,9.411788672159974e-07,1756736941.6261232
74,8.380362866236081e-07,1756736964.409601
75,8.09940837814367e-07,1756736987.2769196
76,8.774903567546546e-07,1756737010.0624313
77,9.313057460338067e-07,1756737032.8097484
78,9.305244492151087e-07,1756737055.555699
79,8.411763942855875e-07,1756737078.4475126
80,8.105802514203542e-07,1756737101.4404244
81,9.794682508294203e-07,1756737124.2768354
82,9.277435075101308e-07,1756737147.1779861
83,7.697139936487764e-07,1756737170.0396636
84,7.119047092367054e-07,1756737192.9117794
85,9.645033275379379e-07,1756737215.6850026
86,9.66478746292712e-07,1756737238.470626
87,9.534679876237758e-07,1756737261.2774763
88,8.547136652759529e-07,1756737284.088578
89,1.1257843680941104e-06,1756737306.9219036
90,9.722690745684085e-07,1756737329.7536986
91,1.1105632010120959e-06,1756737352.5433626
92,9.895009059769704e-07,1756737375.3105793
93,8.679088239803017e-07,1756737398.147381
94,9.34780452824108e-07,1756737421.029331
95,9.892528867976018e-07,1756737443.8362293
96,1.0348096503121322e-06,1756737466.606511
97,8.54871564455573e-07,1756737489.3510058
98,8.682615347399411e-07,1756737512.096793
99,9.325063172251724e-07,1756737534.92792
100,9.216862183253644e-07,1756737557.7138162
101,8.980632075109644e-07,1756737580.672835
102,8.937748002051903e-07,1756737603.4338233
103,8.010790897737949e-07,1756737626.1756032
104,9.83159189014578e-07,1756737648.904503
105,8.32810819931704e-07,1756737671.6313345
106,8.725856368286915e-07,1756737694.3839848
107,8.17625362598989e-07,1756737717.1110709
108,9.363827318388772e-07,1756737739.8293064
109,8.821096475317574e-07,1756737762.501488
110,8.774914132196142e-07,1756737785.289235
111,8.806249500681434e-07,1756737808.048292
112,9.522945920818361e-07,1756737830.797955
113,8.567702126668344e-07,1756737853.5877988
114,8.679208740893984e-07,1756737876.387989
115,8.644163772903156e-07,1756737899.2340634
116,9.755612881747848e-07,1756737922.0706666
117,9.106607680834116e-07,1756737944.9011142
118,9.578507459801466e-07,1756737967.7704396
119,1.023236809457677e-06,1756737990.621248
120,8.733878524011461e-07,1756738013.4658675
121,8.509476305840674e-07,1756738036.1674845
122,9.339178806820404e-07,1756738058.9688177
123,1.0605641780165694e-06,1756738081.8058834
124,8.8239133202159e-07,1756738104.6083574
125,7.521963583287631e-07,1756738127.4677744
126,6.807126576773559e-07,1756738150.4288437
127,1.031249597504846e-06,1756738173.4424818
128,1.2811456676968869e-06,1756738196.4229012
129,9.906271412757928e-07,1756738219.4471788
130,7.212243733940348e-07,1756738242.5102665
131,8.466198135439651e-07,1756738265.4698057
132,1.2497410993831894e-06,1756738288.4301789
133,8.107071344969565e-07,1756738311.3691678
134,1.1427424404281492e-06,1756738334.1769772
135,1.2114813132797862e-06,1756738356.970221
136,1.0274577470352258e-06,1756738379.7354598
137,1.0649035479439827e-06,1756738402.5850682
138,1.0103721991350212e-06,1756738425.3758137
139,1.0461658496911714e-06,1756738448.373537
140,1.178849372785761e-06,1756738471.1258523
141,1.0670803372636355e-06,1756738494.257613
142,1.0344370027864078e-06,1756738517.1384046
143,1.0553363468867037e-06,1756738539.8913927
144,9.979150664597043e-07,1756738562.726799
145,9.615034257382954e-07,1756738585.5029182
146,8.857357955738327e-07,1756738608.3129354
147,1.058839673825366e-06,1756738631.0920568
148,9.89924895153084e-07,1756738653.8978589
149,1.123183861459927e-06,1756738676.853186
150,1.058708614138468e-06,1756738699.7309232
151,1.0095503500796583e-06,1756738722.5357685
152,1.0069764663594488e-06,1756738745.4342587
153,1.1039004241334975e-06,1756738768.2651289
154,9.636280040189057e-07,1756738791.184551
155,9.056000408717484e-07,1756738813.9822364
156,9.97089858745038e-07,1756738836.7996168
157,8.242174984381033e-07,1756738859.5501907
158,8.810064826373253e-07,1756738882.360065
159,9.423458912184882e-07,1756738905.1883214
160,9.517676214801071e-07,1756738928.0007727
161,9.010752881660449e-07,1756738950.7493684
162,8.03319220099526e-07,1756738973.5571465
163,8.965022462399244e-07,1756738996.291376
164,8.868100063710736e-07,1756739019.0845828
165,9.17476761331034e-07,1756739041.8934329
166,9.137673585738304e-07,1756739064.7953048
167,9.92311130108583e-07,1756739087.8558333
168,1.120551511627501e-06,1756739110.9466827
169,1.0637548105889503e-06,1756739133.7682395
170,9.848395279280493e-07,1756739156.6803958
171,9.225537769700229e-07,1756739179.4957705
172,9.133607660049855e-07,1756739202.3505847
173,9.696127119349167e-07,1756739225.1716447
174,8.967294403265428e-07,1756739248.088432
175,9.805458664460367e-07,1756739270.898196
176,8.634908454217839e-07,1756739293.7029936
177,1.0302743070270093e-06,1756739316.4953718
178,1.1680143640422202e-06,1756739339.3312588
179,1.12609043306612e-06,1756739362.1681123
180,1.1986535963371467e-06,1756739384.9997928
181,9.732064756413305e-07,1756739407.7336571
182,9.978242152437742e-07,1756739430.5546901
183,9.203095108388682e-07,1756739453.3731792
184,8.949300260121369e-07,1756739476.0998762
185,8.858938972742797e-07,1756739498.8980594
186,8.620945698790833e-07,1756739521.6866813
187,8.80466307711605e-07,1756739544.5887349
